Chrom	Start	End	Strand	Size	Method	Cell line	Tissue	Species	Genome	Organ	Reference	Pubmed
chr1	10274123	10274232	.	109	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	10280964	10281044	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	10327559	10327639	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	10378319	10378402	.	83	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	10415101	10415181	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	10513876	10513957	.	81	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	10802669	10802774	.	105	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	10851557	10851646	.	89	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	11152150	11152290	.	140	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	11435866	11435956	.	90	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	11448826	11448906	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	13901142	13901225	.	83	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	13994254	13994463	.	209	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	14208060	14208142	.	82	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	14441690	14441814	.	124	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	14445682	14445880	.	198	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	14562737	14562849	.	112	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	14647538	14647853	.	315	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	14679554	14679738	.	184	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	14682621	14682721	.	100	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	14844485	14844595	.	110	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	14887733	14887927	.	194	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	14944193	14944327	.	134	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	15005728	15005815	.	87	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	15005866	15006006	.	140	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	15089518	15089598	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	15202801	15202896	.	95	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	15288466	15288546	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	15416291	15416372	.	81	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	15442573	15442659	.	86	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	15483516	15483902	.	386	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	15534608	15534746	.	138	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	15575623	15575756	.	133	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	15803571	15803676	.	105	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	15858335	15858524	.	189	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	15875617	15875724	.	107	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	15900074	15900176	.	102	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	16005203	16005316	.	113	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	16383723	16383831	.	108	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	16594837	16594939	.	102	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	16643375	16643455	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	16659395	16659475	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	16730609	16730689	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	16852919	16853060	.	141	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	16890238	16890318	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	16890470	16890558	.	88	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	17454979	17455148	.	169	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	17639042	17639122	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	17790050	17790172	.	122	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	18417299	18417387	.	88	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	18779170	18779359	.	189	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	19138755	19138835	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	19464937	19465105	.	168	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	19541895	19542016	.	121	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	19628543	19628623	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	20003029	20003186	.	157	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	20086031	20086111	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	20151215	20151354	.	139	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	20167674	20167754	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	20173693	20173810	.	117	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	20175931	20176081	.	150	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	20486802	20486896	.	94	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	20891399	20891501	.	102	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	20929999	20930118	.	119	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	20948772	20948886	.	114	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	21140410	21140495	.	85	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	21140938	21141059	.	121	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	21386965	21387066	.	101	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	21410846	21411005	.	159	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	21456012	21456167	.	155	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	21466239	21466361	.	122	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	21688732	21688870	.	138	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	21716057	21716138	.	81	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	21837447	21837527	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	21842985	21843065	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	21896776	21896883	.	107	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	22055107	22055205	.	98	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	22080997	22081077	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	22083136	22083216	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	22139910	22140329	.	419	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	22151505	22151588	.	83	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	22187624	22187704	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	22299526	22299606	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	22324437	22324517	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	22324610	22324759	.	149	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	22328800	22328880	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	22357117	22357197	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	22652928	22653008	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	22725638	22725718	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	23173158	23173262	.	104	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	23259425	23259514	.	89	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	23320642	23320881	.	239	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	23322367	23322458	.	91	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	23329315	23329433	.	118	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	23361333	23361449	.	116	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	23367661	23367742	.	81	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	23470754	23470904	.	150	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	23479786	23479895	.	109	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	23584637	23584717	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	23643450	23643556	.	106	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	23660775	23660865	.	90	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	23701748	23701828	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	23756060	23756189	.	129	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	24083722	24083802	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	24227407	24227487	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	24311056	24311345	.	289	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	24447013	24447134	.	121	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	24591274	24591354	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	24673644	24673769	.	125	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	24756204	24756284	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	24816965	24817056	.	91	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	24937185	24937272	.	87	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	24947236	24947319	.	83	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	24973850	24974013	.	163	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	25002212	25002323	.	111	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	25003451	25003531	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	25004148	25004407	.	259	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	25059861	25059988	.	127	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	25317240	25317374	.	134	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	25466787	25466867	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	25659937	25660017	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	25660309	25660413	.	104	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	25707763	25707843	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	25776756	25776887	.	131	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	25785547	25785652	.	105	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	26057359	26057490	.	131	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	26057907	26058014	.	107	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	26246531	26246611	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	26273688	26273768	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	26579795	26579875	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	26697760	26697840	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	26698753	26698833	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	26708444	26708543	.	99	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	26950307	26950387	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	27129363	27129443	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	27283783	27283912	.	129	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	27433440	27433520	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	27609934	27610039	.	105	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	27612364	27612444	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	27770615	27770781	.	166	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	27829069	27829193	.	124	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	27829692	27829815	.	123	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	28120027	28120216	.	189	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	28133114	28133194	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	28188139	28188241	.	102	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	28216293	28216397	.	104	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	28234042	28234122	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	28320722	28320836	.	114	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	28357855	28357938	.	83	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	28358069	28358149	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	28370735	28370940	.	205	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	28381624	28381717	.	93	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	28397827	28397907	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	28555710	28555790	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	28578338	28578418	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	28626875	28626983	.	108	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	28636380	28636491	.	111	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	28733610	28733723	.	113	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	28766339	28766437	.	98	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	28794650	28794800	.	150	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	28874913	28875022	.	109	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	28897935	28898015	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	28956223	28956326	.	103	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	29034034	29034114	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	29086637	29086733	.	96	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	29134614	29134810	.	196	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	29152670	29152750	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	29190299	29190395	.	96	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	29280251	29280386	.	135	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	29288065	29288180	.	115	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	29317165	29317245	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	29370263	29370372	.	109	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	29370808	29370924	.	116	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	29395697	29395782	.	85	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	29461365	29461445	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	29470076	29470156	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	29491844	29491939	.	95	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	29492149	29492229	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	29517408	29517520	.	112	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	31267818	31267899	.	81	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	31317705	31317830	.	125	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	31341655	31341791	.	136	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	31404531	31404642	.	111	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	31407537	31407701	.	164	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	31541058	31541185	.	127	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	31566565	31566698	.	133	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	31592711	31592940	.	229	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	31717479	31717559	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	31744062	31744142	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	31827255	31827374	.	119	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	31917748	31917866	.	118	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	31918895	31919031	.	136	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	32189503	32189612	.	109	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	32192519	32192599	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	32367547	32367679	.	132	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	32369435	32369565	.	130	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	32372560	32372679	.	119	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	32386697	32386777	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	32457765	32457925	.	160	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	32462220	32462343	.	123	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	32493210	32493294	.	84	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	32499101	32499222	.	121	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	32511051	32511215	.	164	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	32605227	32605307	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	32610572	32610682	.	110	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
